review_id,movie_id,viewer_id,review_date,sentiment,score,review_text
R0001,M013,V0012,2025-02-16,positive,7,Outstanding performance.
R0002,M004,V0224,2025-02-12,positive,8,Outstanding performance.
R0003,M006,V0256,2025-02-07,negative,1,Comedy fell completely flat.
R0004,M014,V0311,2024-11-22,positive,8,Outstanding performance.
R0005,M003,V0308,2025-03-28,negative,2,Comedy fell completely flat.
R0006,M003,V0107,2024-11-25,positive,7,Outstanding performance.
R0007,M006,V0141,2024-12-03,positive,7,Outstanding performance.
R0008,M015,V0195,2025-03-03,negative,4,Comedy fell completely flat.
R0009,M001,V0125,2025-03-15,positive,10,Absolutely loved it!
R0010,M008,V0200,2025-02-24,negative,1,Poor screenplay and weak characters.
R0011,M006,V0011,2025-02-03,positive,7,"Gripping storyline, great visuals."
R0012,M012,V0466,2025-01-17,positive,8,Absolutely loved it!
R0013,M007,V0179,2024-11-28,neutral,5,Average plot but good acting.
R0014,M006,V0246,2024-11-10,neutral,5,"Decent watch, nothing special."
R0015,M004,V0331,2025-02-10,positive,10,Highly recommend!
R0016,M009,V0434,2024-10-10,negative,4,Comedy fell completely flat.
R0017,M006,V0390,2024-11-28,negative,1,Disappointing story.
R0018,M012,V0048,2025-03-07,negative,3,Disappointing story.
R0019,M005,V0269,2024-12-05,negative,2,Comedy fell completely flat.
R0020,M003,V0073,2025-01-20,neutral,5,Average plot but good acting.
R0021,M014,V0118,2025-01-13,negative,3,Poor screenplay and weak characters.
R0022,M003,V0035,2024-11-29,positive,9,Absolutely loved it!
R0023,M010,V0294,2025-03-17,negative,1,Not worth the time.
R0024,M005,V0241,2025-01-17,positive,9,Must watch!
R0025,M004,V0414,2024-11-20,negative,1,Disappointing story.
R0026,M002,V0138,2024-11-15,negative,2,Disappointing story.
R0027,M013,V0284,2025-01-03,positive,8,Must watch!
R0028,M003,V0478,2024-11-17,positive,9,Must watch!
R0029,M013,V0167,2024-11-13,negative,1,Poor screenplay and weak characters.
R0030,M009,V0257,2025-02-07,negative,1,Disappointing story.
R0031,M007,V0086,2024-10-13,negative,3,Comedy fell completely flat.
R0032,M003,V0124,2025-03-05,negative,3,Poor screenplay and weak characters.
R0033,M010,V0237,2024-12-02,neutral,5,Average plot but good acting.
R0034,M003,V0366,2024-12-03,negative,2,Not worth the time.
R0035,M011,V0387,2024-10-11,positive,10,Absolutely loved it!
R0036,M007,V0001,2024-12-13,negative,3,Comedy fell completely flat.
R0037,M009,V0347,2025-01-10,positive,8,Highly recommend!
R0038,M009,V0456,2025-02-12,positive,7,"Gripping storyline, great visuals."
R0039,M011,V0182,2025-03-05,positive,9,Highly recommend!
R0040,M012,V0385,2024-12-04,positive,7,Highly recommend!
R0041,M015,V0086,2025-02-06,positive,7,"Gripping storyline, great visuals."
R0042,M003,V0106,2024-10-19,negative,1,Poor screenplay and weak characters.
R0043,M014,V0060,2025-03-04,neutral,5,Average plot but good acting.
R0044,M007,V0154,2025-01-04,positive,7,Absolutely loved it!
R0045,M006,V0102,2024-10-05,positive,8,Must watch!
R0046,M007,V0231,2025-03-01,negative,3,Not worth the time.
R0047,M011,V0203,2024-12-02,neutral,5,"Decent watch, nothing special."
R0048,M001,V0463,2025-01-21,negative,4,Poor screenplay and weak characters.
R0049,M008,V0239,2025-01-28,positive,7,Outstanding performance.
R0050,M015,V0238,2024-11-03,negative,4,Comedy fell completely flat.
R0051,M001,V0486,2024-11-07,negative,4,Disappointing story.
R0052,M005,V0028,2024-12-29,neutral,6,Average plot but good acting.
R0053,M015,V0455,2025-03-17,positive,7,"Gripping storyline, great visuals."
R0054,M002,V0151,2024-12-30,positive,10,Highly recommend!
R0055,M009,V0021,2025-01-31,positive,8,Absolutely loved it!
